wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
VUuZyNg3dWfvadYh2eYGsNV7KHoX1wNFtqAN32nzRuK,solana,-1162567.97,73267.4,-1235835.37,0,115,83861.58,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
HLRAw55adZRYLR7YoiDxYLVu4NN92jQyzGt3zhdh3x3a,solana,298921.44,73261.52,225659.92,0.1,333,2756.72,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
Ev1AaPu4c6L1QEXZiLv9DkNBa3ZigddiXYFTk9tN2DoK,solana,20183.8,72724.73,-52540.93,0.0769,116,8031.11,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
6xozX6k9FAye4zEfictdejRhv5yKkHSNx1uxueRHBamr,solana,61063.19,72610.06,-11546.86,0.3778,1230,905.33,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
B5hcNUxRw625xWKhZk7eahekR2PZGbWNvvbEVvoXTmh8,solana,3099.11,72049.18,-68950.07,0,427,3086.42,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
C4rmk17GAYcb3KnZEus5psFTHydkxXVdHZuRyaBMo3mo,solana,-1011363.15,71887.72,-1083250.86,0,139,8317.41,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
EZcv4WSEmX7WopTJc2bfrdaYovpKcxk81s9zXiQ3Zm9i,solana,47454.49,71763.73,-24309.24,0.4091,538,2805.9,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
2ekEH85LY3CJYtvpPaQ3dw58VxeHDvUBTaLkKm5AYw4V,solana,218532.46,71557.47,146974.99,0.1875,204,1186.39,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
HNXg3fH9kQ7Et63fqbZtWnHP1T6ifSJgk9b9kg8Wk1b4,solana,71155.96,71215.12,-59.16,0,279,539.35,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
6qudAN2kV8mtCcYJxb5QQ6Vr15itdHHdeVbYm99NKMhy,solana,73269.98,71066.64,2203.34,0.8982,1437,282.6,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
DFBzqpEoG92H3Z9WAktf5z8sWVguEu5Fm1m9amSyM2GW,solana,59831.49,70863.79,-11032.31,0,1755,204.67,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
GkbCG9BGtjoupjo26co2xFTssrhC5yvE2VB7tEqpMuPR,solana,162906.73,70605.02,92301.71,0.5594,1405,249.36,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
5JbdXbkvqb6CDbiEuBXdh2R54WJPtwZDoeQms8Kn8khm,solana,70527.92,70527.92,0,0.2,84,847.77,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
Gjb36u9PcbmghEfusi9e4hCqYeLRVa4xpxgHH4g7eNb1,solana,70273.01,70273.01,0,0.5,79,2981.22,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
